,,,,,,,,,,,,,,
,Title:,Ambulance Quality Indicators: System Indicators Time Series,,,,,,,,,,,,
,,January,-,-,-,"11,958","8,790",73.5%,"225,511","170,842",75.8%,"236,884","227,026",95.8%
,,February,-,-,-,"10,841","8,037",74.1%,"205,301","154,684",75.3%,"215,693","206,843",95.9%
,,March,-,-,-,"12,306","9,031",73.4%,"236,512","174,477",73.8%,"248,295","236,834",95.4%
,,2012-13 Total,"441,606","333,294",75.5%,"114,373","84,605",74.0%,"2,165,142","1,636,921",75.6%,"2,712,417","2,603,993",96.0%
,2013-14,April,-,-,-,"11,147","8,407",75.4%,"224,352","170,527",76.0%,"234,947","226,404",96.4%
,,May,-,-,-,"10,873","8,470",77.9%,"224,842","174,957",77.8%,"235,170","227,982",96.9%
,,June,-,-,-,"10,207","7,897",77.4%,"214,799","165,564",77.1%,"224,411","216,962",96.7%
,,July,-,-,-,"11,328","8,551",75.5%,"228,733","169,353",74.0%,"239,245","229,225",95.8%
,,August,-,-,-,"11,399","8,780",77.0%,"221,441","166,753",75.3%,"231,875","223,079",96.2%
,,September,-,-,-,"10,679","8,024",75.1%,"216,928","160,101",73.8%,"226,963","217,746",95.9%
,,October,-,-,-,"11,156","8,323",74.6%,"233,469","171,893",73.6%,"243,987","234,542",96.1%
,,November,-,-,-,"11,095","8,218",74.1%,"227,179","165,859",73.0%,"237,647","227,966",95.9%
,,December,-,-,-,"12,849","9,351",72.8%,"249,721","179,107",71.7%,"261,883","249,878",95.4%
,,January,-,-,-,"11,915","9,106",76.4%,"234,247","178,846",76.3%,"245,533","236,677",96.4%
,,February,-,-,-,"10,763","8,091",75.2%,"218,545","161,796",74.0%,"228,684","219,462",96.0%
,,March,-,-,-,"11,829","9,019",76.2%,"242,633","181,340",74.7%,"253,820","243,904",96.1%
,,2013-14 Total,-,-,-,"135,240","102,237",75.6%,"2,736,889","2,046,096",74.8%,"2,864,165","2,753,827",96.1%
,2014-15,April,-,-,-,"12,053","9,060",75.2%,"235,255","173,166",73.6%,"246,682","236,301",95.8%
,,May,-,-,-,"12,840","9,411",73.3%,"249,815","181,214",72.5%,"261,901","249,474",95.3%
,,June,-,-,-,"12,439","9,016",72.5%,"240,914","170,287",70.7%,"251,747","238,682",94.8%
,,July,-,-,-,"13,283","9,407",70.8%,"248,827","171,056",68.7%,"261,324","245,591",94.0%
,,August,-,-,-,"12,632","9,248",73.2%,"235,961","167,335",70.9%,"247,959","235,371",94.9%
,- denotes not available.,,,,,,,,,,,,,
